StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q1.2,Q1.3,Q1.4,Q3.1,Q4.1,Q7.2,Q7.3_1,Q7.3_2,Q7.3_4,Q7.3_5,Q7.3_6,Q16.2,Q16.3_1,Q16.3_2,Q16.3_3,Q16.3_4,Q16.3_5,Q16.3_10,Q32.2,Q32.3_1,Q32.3_2,Q32.3_4,Q32.3_5,Q32.3_10,Q41.2,Q41.3_1,Q41.3_2,Q41.3_3,Q41.3_4,Q41.3_5,Q41.3_10,Q57.2,Q57.3_9,Q57.3_10,Q57.3_12,Q57.3_13,Q57.3_18,Q66.2,Q66.3_9,Q66.3_10,Q66.3_12,Q66.3_13,Q66.3_18,Q82.2,Q82.3_9,Q82.3_10,Q82.3_12,Q82.3_13,Q82.3_18,Q91.2,Q91.3_9,Q91.3_10,Q91.3_12,Q91.3_13,Q91.3_18,Q107.2,Q107.3_9,Q107.3_10,Q107.3_12,Q107.3_13,Q107.3_18,Q116.2,Q116.3_9,Q116.3_10,Q116.3_12,Q116.3_13,Q116.3_18,Q132.2,Q132.3_17,Q132.3_18,Q132.3_20,Q132.3_21,Q132.3_26,Q141.2,Q141.3_17,Q141.3_18,Q141.3_20,Q141.3_21,Q141.3_26,Q157.2,Q158.2,Random ID,Fail ID
2022-01-01 11:41:30,2022-01-01 11:48:04,IP Address,71.82.201.101,100,393,True,2022-01-01 11:48:04,R_25WlGM80wutc8A6,,,,,45.01300048828125,-84.67189788818359375,anonymous,EN,0.89999997615814208984375,G,Their,The man goes to school every day.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,66311,128
2022-01-01 11:48:19,2022-01-01 11:51:40,IP Address,71.82.201.101,100,201,True,2022-01-01 11:51:41,R_22RoCQnbqpHjQGu,,,,,45.01300048828125,-84.67189788818359375,anonymous,EN,0.89999997615814208984375,G,Their,The men go to school every day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,66196,95
2022-01-01 11:11:23,2022-01-01 11:53:38,IP Address,81.161.4.59,100,2535,True,2022-01-01 11:53:38,R_2QGoScwHEBsUwAa,,,,,40.766204833984375,-74.01779937744140625,anonymous,EN,0.800000011920928955078125,G,Their,The men goes to school every day.,Yes,Yes,Forest,4,3,2,5,5,Other,5,3,2,4,3,5,Love,1,3,2,4,5,Other,5,3,2,4,4,5,Forest,5,4,3,2,1,Death,3,2,4,5,2,Wisdom,2,2,3,3,4,Death,5,4,3,5,4,Forest,5,4,3,5,5,Other,5,4,3,3,5,Love,5,3,3,3,5,Love,2,3,4,5,5,"10653 ",,10653,56
2022-01-01 11:49:46,2022-01-01 11:58:54,IP Address,65.96.191.159,100,548,True,2022-01-01 11:58:54,R_3IYkY2dw5p40QpL,,,,,41.7599029541015625,-72.7574005126953125,anonymous,EN,1,G,Their,The men goes to school every day.,No,Yes,Other,5,4,2,4,4,Darkness,2,1,3,1,4,1,Other,4,3,3,4,3,Other,2,3,1,1,4,3,Forest,4,3,3,4,4,Other,1,1,1,4,1,Other,5,4,3,4,3,Death,4,4,4,4,3,Forest,1,2,1,4,1,Other,2,3,1,4,1,Wisdom,4,4,2,4,2,Love,4,4,5,4,4,31652,,31652,161
2022-01-01 11:51:47,2022-01-01 12:04:12,IP Address,71.82.201.101,100,745,True,2022-01-01 12:04:12,R_VJY2MnI1zFqLR1n,,,,,45.01300048828125,-84.67189788818359375,anonymous,EN,0.89999997615814208984375,G,Their,The men goes to school every day.,No,Yes,Forest,3,4,4,4,4,Wisdom,3,4,3,3,4,4,Wisdom,3,4,3,4,4,Darkness,3,3,3,3,3,4,Wisdom,3,4,4,4,4,Forest,3,4,3,3,3,Darkness,3,4,4,3,4,Love,4,3,3,4,4,Forest,4,5,4,3,3,Death,3,4,4,4,4,Love,3,4,4,3,4,Love,4,4,4,3,4,"82159 ",,82159,196
2022-01-01 12:16:55,2022-01-01 12:18:11,IP Address,50.231.89.39,100,76,True,2022-01-01 12:18:12,R_9zsqsRtPI54yPeN,,,,,40.7156982421875,-74,anonymous,EN,0.89999997615814208984375,G,Their,The man goes to school every day.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,14461,3
2022-01-01 12:18:18,2022-01-01 12:18:48,IP Address,50.231.89.39,100,30,True,2022-01-01 12:18:48,R_2UYHU5aimHHeP33,,,,,40.7156982421875,-74,anonymous,EN,0.89999997615814208984375,G,Their,The men go to school every day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"170 ",23683,170
2022-01-01 13:13:03,2022-01-01 13:14:39,IP Address,208.195.19.162,100,96,True,2022-01-01 13:14:40,R_3DpYqDYDoZ42yLE,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,0.699999988079071044921875,G,Their,The men go to school every day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192,42575,192
2022-01-01 13:14:58,2022-01-01 13:21:32,IP Address,208.195.19.162,100,394,True,2022-01-01 13:21:33,R_Wp8HnF47M4C4XOF,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,1,G,Their,The men goes to school every day.,No,Yes,Forest,2,4,3,4,3,Love,4,3,3,4,4,3,Love,3,2,3,3,2,Other,2,3,3,2,3,4,Darkness,3,2,3,4,3,Death,2,3,3,4,3,Wisdom,3,2,3,3,4,Darkness,3,2,3,4,2,Forest,3,3,2,3,3,Love,3,2,3,3,4,Forest,2,2,3,3,2,Love,2,4,3,3,4,29602,,29602,117
2022-01-01 13:27:29,2022-01-01 13:33:33,IP Address,208.195.19.162,100,363,True,2022-01-01 13:33:33,R_1jxf3iQMTwiJKmq,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,0.89999997615814208984375,G,Their,The men goes to school every day.,No,No,Wisdom,2,4,3,2,3,Darkness,3,3,2,4,3,3,Other,2,3,4,3,3,Darkness,3,2,2,3,2,3,Wisdom,2,3,3,3,3,Death,3,3,3,4,4,Death,4,4,3,4,3,Love,4,3,4,3,2,Forest,3,2,2,2,4,Other,1,3,3,4,3,Wisdom,2,3,4,3,4,Darkness,3,3,4,3,4,"34352 ",,34352,38
2022-01-01 16:48:35,2022-01-01 17:07:16,IP Address,173.198.160.217,100,1120,True,2022-01-01 17:07:16,R_3R41cuDr5LAeZ9v,,,,,43.9600982666015625,-111.69750213623046875,anonymous,EN,1,G,Their,The men goes to school every day.,No,Yes,Other,4,4,5,4,5,Other,3,3,4,4,4,4,Other,3,3,3,4,5,Wisdom,2,1,1,2,4,1,Forest,2,1,1,4,4,Other,2,2,2,4,3,Other,2,1,2,4,4,Death,2,1,2,4,1,Other,1,2,2,4,3,Darkness,2,2,3,4,4,Wisdom,3,3,4,4,5,Love,4,2,5,4,5,76846,,76846,193
